KEY,DESCRIPTION,VALUE
01,"SIN EDUCACIÓN FORMAL","SIN EDUCACIÓN FORMAL"
02,"EDUCACIÓN ESPECIAL INCOMPLETA","ESPECIAL INCOMPLETA"
03,"EDUCACIÓN ESPECIAL COMPLETA","ESPECIAL COMPLETA"
04,"EDUCACIÓN PRIMARIA INCOMPLETA","PRIMARIA INCOMPLETA"
05,"EDUCACIÓN PRIMARIA COMPLETA","PRIMARIA COMPLETA"
06,"EDUCACIÓN SECUNDARIA INCOMPLETA","SECUNDARIA INCOMPLETA"
07,"EDUCACIÓN SECUNDARIA COMPLETA","SECUNDARIA COMPLETA"
08,"EDUCACIÓN TÉCNICA INCOMPLETA","TÉCNICA INCOMPLETA"
09,"EDUCACIÓN TÉCNICA COMPLETA","TÉCNICA COMPLETA"
10,"EDUCACIÓN SUPERIOR (INSTITUTO SUPERIOR,ETC) INCOMPLETA","SUPERIOR INCOMPLETA (INSTIT. SUPER)"
11,"EDUCACIÓN SUPERIOR (INSTITUTO SUPERIOR,ETC) COMPLETA","SUPERIOR COMPLETA  (INSTIT SUPER)"
12,"EDUCACIÓN UNIVERSITARIA INCOMPLETA","UNIVERSITARIA INCOMPLETA"
13,"EDUCACIÓN UNIVERSITARIA COMPLETA","UNIVERSITARIA COMPLETA"
14,"GRADO DE BACHILLER","GRADO DE BACHILLER"
15,"TITULADO","TITULADO"
16,"ESTUDIOS DE MAESTRÍA INCOMPLETA","ESTUD. MAESTRÍA INCOMPLETA"
17,"ESTUDIOS DE MAESTRÍA COMPLETA","ESTUD. MAESTRÍA COMPLETA"
18,"GRADO DE MAESTRÍA","GRADO DE MAESTRÍA"
19,"ESTUDIOS DE DOCTORADO INCOMPLETO","ESTUD. DOCTORADO INCOMPLETO"
20,"ESTUDIOS DE DOCTORADO COMPLETO","ESTUD. DOCTORADO COMPLETO"
21,"GRADO DE DOCTOR","GRADO DE DOCTOR"
